course,Skills_Text
Microsoft Azure Data Engineering Associate (DP-203),"azure, c, cloud computing, databases, python, r, sql"
Operating Systems and You: Becoming a Power User,"linux, r"
Linear Algebra for Machine Learning and Data Science,"c, machine learning, python, r"
Generative AI Fundamentals,"c, machine learning, r"
ChatGPT Advanced Data Analysis,
Business Strategy,"c, r"
Digital Marketing,"c, data visualization, git, r"
"HTML, CSS, and Javascript for Web Developers","c, css, html, java, javascript, r, web development"
Entrepreneurship,"c, r"
Search Engine Optimization (SEO),"c, git, r, web development"
"Unsupervised Learning, Recommenders, Reinforcement Learning","c, deep learning, machine learning, r, tensorflow"
"NoSQL, Big Data, and Spark Foundations","c, cloud computing, databases, kubernetes, machine learning, python, r, sql"
"Python for Data Science, AI & Development","c, python, r"
AI Product Management,"c, data science, deep learning, machine learning, r"
Crash Course on Python,"c, python, r"
Google IT Support,
Data Structures and Algorithms,"c, c++, r"
Certified in Cybersecurity,"c, r"
Data Science,"c, data visualization, databases, machine learning, r, web development"
Generative Adversarial Networks (GANs),"c, computer vision, deep learning, machine learning, neural networks, python, r"
"Assets, Threats, and Vulnerabilities","c, linux, r"
Genomic Data Science,"c, python, r"
Cybersécurité Google,"linux, sql"
U.S. Federal Taxation,"c, r"
Algorithms,"c, r, software engineering"
Medical Billing and Coding Fundamentals,"c, r"
TensorFlow: Advanced Techniques,"c, computer vision, deep learning, machine learning, neural networks, python, r, tensorflow"
Applied Data Science with Python,"c, data visualization, machine learning, python, r"
Mathematics for Machine Learning,"c, machine learning, python, r"
Reinforcement Learning,"c, machine learning, neural networks, python, r"
Mergers and Acquisitions,"c, r"
Leading People and Teams,"c, r"
Fundamentals of Project Planning and Management,"c, r"
IBM Full Stack Software Developer,
The Business of Health Care,"c, r"
AI for Good,"c, computer vision, neural networks, python, r"
Analyze Data to Answer Questions,"c, r, sql"
Data Science: Foundations using R,"c, data visualization, databases, r"
Meta Marketing Analytics,"c, data visualization, databases, git, python, r, sql, tableau"
OKR Certification: Leadership and Goal Setting,"c, r"
Introduction to Artificial Intelligence (AI),"c, computer vision, data science, deep learning, machine learning, neural networks, r"
Achieving Personal and Professional Success,"c, r"
People and Soft Skills for Professional and Personal Success,"c, r"
Business Analytics with Excel: Elementary to Advanced,"c, data visualization, r"
System Administration and IT Infrastructure Services,"c, cloud computing, r"
Successful Negotiation: Essential Strategies and Skills,"c, r"
Financial Engineering and Risk Management,"c, r"
Introduction to Programming with Python and Java,"c, data science, data visualization, java, python, r, software engineering"
Entrepreneurship: Growing Your Business,"c, r"
Think like a CFO,"c, r"
Fintech: Foundations & Applications of Financial Technology,"c, machine learning, r"
Psychological First Aid,r
Google Data Analytics (PT),"c, data visualization, databases, r, sql, tableau"
Pharmacy Technician Fundamentals,"c, r"
Tools for Data Science,"c, cloud computing, data science, python, r"
Practical Data Science on the AWS Cloud,"c, r"
Private Equity and Venture Capital,"c, r"
Foundations of Business Intelligence,"c, r"
Geographic Information Systems  (GIS),"c, data visualization, databases, r"
Human Resource Management: HR for People Managers,"c, r"
Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,r
Software Product Management,"agile software development, c, r, software engineering"
Project Management & Other Tools for Career Development,"c, data visualization, deep learning, r"
"Product Ideation, Design, and Management","c, r, software engineering"
Excel Basics for Data Analysis,"c, data science, r"
UCI Project Management,"c, r"
Getting started with Google Workspace,"c, cloud computing, data visualization, databases, r"
Organizational Analysis,"c, r"
Google Data Analytics,"c, data visualization, databases, r, sql"
Programming for Everybody (Getting Started with Python),"c, python, r, software engineering"
Instructional Design Foundations and Applications,r
Generative AI for Everyone,"c, r"
"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization","c, deep learning, machine learning, neural networks, python, r, tensorflow"
Share Data Through the Art of Visualization,"c, data visualization, r, tableau"
AI for Medicine,"c, deep learning, machine learning, neural networks, python, r"
Foundations of Data Science,"c, r"
Sound the Alarm: Detection and Response,"c, linux, r"
Microsoft Azure Fundamentals AZ-900 Exam Prep,"azure, c, cloud computing, databases, machine learning, r, web development"
Project Management,"agile software development, c, r"
Game Theory,"c, r"
UI / UX Design,"c, r, web development"
Foundations of Management,"c, r"
Bookkeeping Basics,"c, r"
Scrum Master Certification,"agile software development, c, r, software engineering"
Financial Analysis - Skills for Success,"c, r"
From Likes to Leads: Interact with Customers Online,"c, git, r"
Google Professional Workspace Administrator,"c, cloud computing, r"
Data Analysis with R Programming,"c, r, sql"
Connected Leadership,"c, r"
Tableau Business Intelligence Analyst,"c, data visualization, r, tableau"
Applied Data Science with R,"c, data science, data visualization, databases, machine learning, r, sql"
Stanford Introduction to Food and Health,r
IBM DevOps and Software Engineering,
Google Project Management,"c, c++, r"
Artificial Intelligence in Marketing,"c, git, machine learning, r"
Introduction to Cloud Computing,"c, cloud computing, r"
Clinical Trials Operations,"c, r"
Project Management Principles and Practices,"c, r"
Management of Fashion and Luxury Companies,"c, r"
Soporte de Tecnologías de la Información de Google,"c, cloud computing, linux, r"
Creative Writing,"c, r"
Introduction to Machine Learning in Production,"c, machine learning, r"
"Influencing: Storytelling, Change Management and Governance","c, r, tensorflow"
Automate Cybersecurity Tasks with Python,"c, python, r"
IT Security: Defense against the digital dark arts,"c, r"
Principles of Management,"c, r"
Build Wireframes and Low-Fidelity Prototypes,"c, r"
Accelerated Computer Science Fundamentals,"c, c++, r"
Career Success,"c, data visualization, deep learning, r"
AI Fundamentals for Non-Data Scientists,"c, deep learning, machine learning, neural networks, r"
Intellectual Property Law,"c, r"
Fundamentals of Quantitative Modeling,"c, r"
Methods and Statistics in Social Sciences,"c, r"
Pricing Strategy Optimization,"c, r"
Modern and Contemporary Art and Design,"c, r"
The Strategy of Content Marketing,"git, r"
Introduction to Healthcare,r
Capstone: Applying Project Management in the Real World,"c, r"
Java Programming and Software Engineering Fundamentals,"c, css, html, java, javascript, r, software engineering, web development"
Natural Language Processing with Classification and Vector Spaces,"c, machine learning, python, r"
Introduction to Cybersecurity Tools & Cyber Attacks,"c, r"
"Brand Management: Aligning Business, Brand and Behaviour",r
Machine Learning on Google Cloud,"c, cloud computing, data visualization, deep learning, feature engineering, machine learning, neural networks, python, r, sql, tensorflow"
Removing Barriers to Change,"c, r"
Google Cloud Digital Leader Training,"c, cloud computing, kubernetes, machine learning, r, software engineering"
SAS Programmer,"c, databases, r, sql"
Management Consulting,"c, r"
Excel Skills for Data Analytics and Visualization,"c, data visualization, power bi, r"
MATLAB Programming for Engineers and Scientists,"c, data visualization, machine learning, matlab, r"
Managing Emotions in Times of Uncertainty & Stress,c
