Intern ID,Top Cluster,Top Cluster Role,Missing Skills,Recommended Courses
intern_0061,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0062,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Google Digital Marketing & E-commerce, Google Data Analytics, Google Project Management:"
intern_0063,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Cloud Application Development Foundations, Google Data Analytics, Google Project Management:"
intern_0064,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0065,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0066,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0067,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0068,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Project Management & Other Tools for Career Development, Google Data Analytics, Google Project Management:"
intern_0069,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0070,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0071,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Data Science Graduate Certificate, Google Data Analytics, Google Project Management:"
intern_0072,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Google Data Analytics, Google Project Management:, Google Digital Marketing & E-commerce"
intern_0073,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0074,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0075,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0076,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","IBM DevOps and Software Engineering, Google Data Analytics, Google Project Management:"
intern_0077,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0078,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0079,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0080,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0081,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Google Data Analytics, Google Project Management:, Google Digital Marketing & E-commerce"
intern_0082,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Project Management & Other Tools for Career Development, Google Data Analytics, Google Project Management:"
intern_0083,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0084,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0085,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","AI For Everyone, Google Data Analytics, Google Project Management:"
intern_0086,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0087,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","AI For Everyone, Google Data Analytics, Google Project Management:"
intern_0088,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0089,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Tools for Data Science, Google Data Analytics, Google Project Management:"
intern_0090,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Robotics, Google Data Analytics, Google Project Management:"
intern_0091,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","IBM & Darden Digital Strategy, Google Data Analytics, Google Project Management:"
intern_0092,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","IBM DevOps and Software Engineering, Google Data Analytics, Google Project Management:"
intern_0093,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0094,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0095,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0096,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0097,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0098,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Using Python to Access Web Data, Google Data Analytics, Google Project Management:"
intern_0099,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0100,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Google Data Analytics, Google Project Management:, Google Digital Marketing & E-commerce"
intern_0101,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0102,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0103,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0104,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","IBM & Darden Digital Strategy, Google Data Analytics, Google Project Management:"
intern_0105,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","AI For Everyone, Google Data Analytics, Google Project Management:"
intern_0106,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","IBM DevOps and Software Engineering, Google Data Analytics, Google Project Management:"
intern_0107,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0108,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0109,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0110,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0111,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0112,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0113,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0114,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0115,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0116,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","IBM Applied AI, Google Data Analytics, Google Project Management:"
intern_0117,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","IBM & Darden Digital Strategy, Google Data Analytics, Google Project Management:"
intern_0118,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Foundations of Cybersecurity, Google Data Analytics, Google Project Management:"
intern_0119,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0120,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0121,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0122,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0123,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0124,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Tools for Data Science, Google Data Analytics, Google Project Management:"
intern_0125,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0126,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0127,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0128,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","IBM DevOps and Software Engineering, Google Data Analytics, Google Project Management:"
intern_0129,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","IBM DevOps and Software Engineering, Google Data Analytics, Google Project Management:"
intern_0130,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","AI For Everyone, Google Data Analytics, Google Project Management:"
intern_0131,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0132,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0133,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0134,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0135,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0136,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Microsoft Power BI Data Analyst, Google Data Analytics, Google Project Management:"
intern_0137,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0138,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, data science, r","Google Data Analytics, IBM Data Science, IBM Data Analyst"
intern_0139,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","Tools for Data Science, Google Data Analytics, Google Project Management:"
intern_0140,1,"Cluster 1 (c, r, data science, machine learning, scala)","c, r","IBM Data Science, Google Data Analytics, Google Project Management:"
