Intern ID,Top Cluster,Top Cluster Role,Job Similarity Score,Top Course,Course Similarity Score
intern_0066,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.540792027157846,IBM DevOps and Software Engineering,0.9999999999999998
intern_0067,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.5335672724011493,Hands-on Introduction to Linux Commands and Shell Scripting,0.8758752855630184
intern_0068,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.6616803928039153,Project Management & Other Tools for Career Development,0.8140649589821334
intern_0069,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.3860617554641097,Getting Started with AI using IBM Watson,0.8776840459192121
intern_0070,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.5520153932104765,IBM DevOps and Software Engineering,0.9998085681202578
intern_0071,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.634021031884767,Data Science Graduate Certificate,0.8230959155096385
intern_0072,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.6952013631792975,Data Modeling in Power BI,0.8380331837557213
intern_0073,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.6064426817491404,Cybersécurité Google,0.8418108213228112
intern_0074,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.7825186479146614,Foundations of Cybersecurity,0.8816884956816801
intern_0075,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.7788040362423803,Foundations of Cybersecurity,0.8782126854802891
intern_0076,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.5616403636956416,IBM DevOps and Software Engineering,0.918472201484787
intern_0077,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.6334522325561615,IBM DevOps and Software Engineering,0.9273286437273458
intern_0078,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.6561188518406565,Data Modeling in Power BI,0.9209560774695303
intern_0079,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.32591972587118617,Machine Learning for Trading,0.9293399975238315
intern_0080,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.6305498237776394,"Modern Robotics:  Mechanics, Planning, and Control",0.9392753861460476
intern_0081,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.7630443862070643,Ciberseguridad de Google,0.8468352530949962
intern_0082,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.5944964724943548,Project Management & Other Tools for Career Development,0.7780666416990295
intern_0083,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.556559428621576,Cloud Application Development Foundations,0.8237975408480293
intern_0084,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.6416102224145956,Go Beyond the Numbers: Translate Data into Insights,0.9361477036519351
intern_0085,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.5330898856056581,AI For Everyone,0.8836312896801422
intern_0086,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.5227882944974702,"HTML, CSS, and Javascript for Web Developers",0.9463477763289188
intern_0087,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.6075170187603874,AI For Everyone,0.7871043846478486
intern_0088,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.5497596573430108,IBM DevOps and Software Engineering,0.9378611185867984
intern_0089,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.6952182234758257,Tools for Data Science,0.9163657642989587
intern_0090,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.5289267846142884,Robotics,0.7817762720436977
intern_0091,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.5540439654374728,IBM & Darden Digital Strategy,0.8662943377717399
intern_0092,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.6298466031232638,IBM DevOps and Software Engineering,0.88313846990552
intern_0093,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.41485587945107366,Google Digital Marketing & E-commerce,0.8124275104601631
intern_0094,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.6253140788589886,IBM DevOps and Software Engineering,0.9655421806694725
intern_0095,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.4690464432357281,"HTML, CSS, and Javascript for Web Developers",0.8966893663269134
intern_0096,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.540792027157846,IBM DevOps and Software Engineering,0.9999999999999998
intern_0097,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.5430531499623931,Introduction to Front-End Development,0.9057228830718739
intern_0098,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.7692295094875545,Using Python to Access Web Data,0.8105920710618476
intern_0099,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.5747399733896287,IBM DevOps and Software Engineering,0.9000029460893716
intern_0100,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.6363443360516402,Go Beyond the Numbers: Translate Data into Insights,0.8379612359869677
intern_0101,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.6401066941528691,"Modern Robotics:  Mechanics, Planning, and Control",0.9346902700995694
intern_0102,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.4852866741204602,"HTML, CSS, and Javascript for Web Developers",0.9341256586145016
intern_0103,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.27748874270621815,Structuring Machine Learning Projects,0.9110797995899312
intern_0104,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.6305158892201644,IBM & Darden Digital Strategy,0.7983061811079848
intern_0105,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.6604566524456664,AI For Everyone,0.7263442492253583
intern_0106,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.6341812294800212,IBM DevOps and Software Engineering,0.7772099301933921
intern_0107,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.5148138495022062,IBM DevOps and Software Engineering,0.9004167023937859
intern_0108,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.5574763099304175,IBM DevOps and Software Engineering,0.9461157854522027
intern_0109,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.6933980916107944,Using Python to Access Web Data,0.9346851754783696
intern_0110,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.540792027157846,IBM DevOps and Software Engineering,0.9999999999999998
intern_0111,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.5520153932104765,IBM DevOps and Software Engineering,0.9998085681202578
intern_0112,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.5135227117957657,IBM DevOps and Software Engineering,0.9883072987274393
intern_0113,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.49339361699838913,"HTML, CSS, and Javascript for Web Developers",0.9401239726892855
intern_0114,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.411255530831736,Getting Started with AI using IBM Watson,0.8704879576742881
intern_0115,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.6632905637548525,Go Beyond the Numbers: Translate Data into Insights,0.8246943295303115
intern_0116,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.5620625036210757,IBM Applied AI,0.8592680819808208
intern_0117,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.6273403129099571,IBM & Darden Digital Strategy,0.755416730085442
intern_0118,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.7850238682313974,Foundations of Cybersecurity,0.8126662354210364
intern_0119,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.6283913416067264,IBM DevOps and Software Engineering,0.8990156847995853
intern_0120,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.679160918706816,Web Applications for Everybody,0.8695661886383677
intern_0121,1,"Cluster 1 (c, r, data science, machine learning, scala)",0.6036559411773763,IBM DevOps and Software Engineering,0.9797450879360139
